Date,Event or Activity,Location Name,Time of Event,Details,Additional Information,Drop-in/Pop-up,Staff
09/18/2018 12:00:00 AM,Read With A Ranger,Ranger Station in Zilker Park,9:30am - 10:30pm,,https://www.facebook.com/events/374590819742405/,,
10/04/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
09/08/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/13/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
10/20/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
08/18/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
08/24/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/27/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
09/01/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
08/18/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
10/06/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/06/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
08/18/2018 12:00:00 AM,Clear the Shelters,Austin Animal Center,9:00am - 6:00pm,,https://www.facebook.com/events/540977339691946/,,
09/07/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/23/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/21/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/05/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/29/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
08/23/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
09/16/2018 12:00:00 AM,Bark Rangers at the Wildflower Center,Lady Bird Johnson Wildflower Center,9:00am - 1:00pm,,https://www.facebook.com/wildflowercenter/,,
10/16/2018 12:00:00 AM,Read With A Ranger,Ranger Station in Zilker Park,9:30am - 10:30pm,,https://www.facebook.com/events/374590819742405/,,
10/27/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/27/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
10/18/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
09/14/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/20/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
08/25/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
09/22/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
09/29/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
09/22/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/06/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
10/11/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
08/18/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/08/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
10/07/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/19/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
10/25/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
10/13/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
08/30/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
09/09/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
08/25/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/15/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/2058080251113096/,,
09/16/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,,,,
09/20/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
09/22/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,,https://www.facebook.com/events/1880979915548951/,,
08/16/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,,https://www.facebook.com/events/214004132710234/,,
12/08/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/01/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/22/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,2:00pm - 3:00pm,Observational Art,https://www.facebook.com/events/2390001551016949/,Observational Art,https://www.facebook.com/events/2390001551016949/
12/15/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/07/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/16/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/09/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/13/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/
11/10/2018 12:00:00 AM,Bark Ranger Workshop,Ranger Station in Zilker Park,2:00pm - 3:00pm,Bark Ranger Workshop,https://www.facebook.com/events/2111875092470431/,Bark Ranger Workshop,https://www.facebook.com/events/2111875092470431/
11/17/2017 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/
12/23/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/21/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/29/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/
12/28/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/25/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/18/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/22/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/
11/24/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/08/2018 12:00:00 AM,Observational Art-Holiday Event,Ranger Station in Zilker Park,2:00pm - 3:00pm,Observational Art-Holiday Event,https://www.facebook.com/events/2390001551016949/,Observational Art-Holiday Event,https://www.facebook.com/events/2390001551016949/
11/22/2018 12:00:00 AM,Ranger Station Cottage CLOSED,,,Ranger Station Cottage CLOSED,,Ranger Station Cottage CLOSED,
11/30/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/01/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/
12/02/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/17/2017 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/10/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,2:00pm - 3:00pm,Observational Art,https://www.facebook.com/events/2390001551016949/,Observational Art,https://www.facebook.com/events/2390001551016949/
11/20/2018 12:00:00 AM,Read With A Ranger,Ranger Station in Zilker Park,9:30am - 10:30pm,Read With A Ranger,https://www.facebook.com/events/374590819742405/,Read With A Ranger,https://www.facebook.com/events/374590819742405/
12/16/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/01/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,2:00pm - 3:00pm,Observational Art,https://www.facebook.com/events/2390001551016949/,Observational Art,https://www.facebook.com/events/2390001551016949/
11/29/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/
12/29/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station Cottage Open,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/11/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/15/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/
11/04/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/24/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,2:00pm - 3:00pm,Observational Art,https://www.facebook.com/events/2390001551016949/,Observational Art,https://www.facebook.com/events/2390001551016949/
12/08/2018 12:00:00 AM,Bark  Ranger Workshop-Holiday Event,Ranger Station in Zilker Park,2:00pm - 3:00pm,Bark  Ranger Workshop-Holiday Event,https://www.facebook.com/events/396608087516534/,Bark  Ranger Workshop-Holiday Event,https://www.facebook.com/events/396608087516534/
12/15/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/
12/29/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,2:00pm - 3:00pm,Observational Art,https://www.facebook.com/events/2390001551016949/,Observational Art,https://www.facebook.com/events/2390001551016949/
12/08/2018 12:00:00 AM,Coffee with a Ranger-Holiday Event,Ranger Station in Zilker Park,9:00am - 11:00am,Coffee with a Ranger-Holiday Event,https://www.facebook.com/events/291088545076943/,Coffee with a Ranger-Holiday Event,https://www.facebook.com/events/291088545076943/
11/24/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/
12/30/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station Cottage Open,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/20/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/
11/17/2017 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,2:00pm - 3:00pm,Observational Art,https://www.facebook.com/events/2390001551016949/,Observational Art,https://www.facebook.com/events/2390001551016949/
12/18/2018 12:00:00 AM,Read With A Ranger,Ranger Station in Zilker Park,,Read With A Ranger,https://www.facebook.com/events/374590819742405/,Read With A Ranger,https://www.facebook.com/events/374590819742405/
12/22/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/23/2018 12:00:00 AM,Ranger Station Cottage CLOSED,,,Ranger Station Cottage CLOSED,,Ranger Station Cottage CLOSED,
11/08/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/
12/15/2018 12:00:00 AM,Observational Art,Ranger Station in Zilker Park,2:00pm - 3:00pm,Observational Art,https://www.facebook.com/events/2390001551016949/,Observational Art,https://www.facebook.com/events/2390001551016949/
11/10/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
11/10/2018 12:00:00 AM,Coffee with a Ranger,Ranger Station in Zilker Park,9:00am - 11:00am,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/,Coffee with a Ranger,https://www.facebook.com/events/291088545076943/
12/14/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
12/06/2018 12:00:00 AM,Wild Ones Preschool Rangers,Ranger Station in Zilker Park,10:00am - 11:00pm,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/,Wild Ones Preschool Rangers,https://www.facebook.com/events/214004132710234/
12/09/2018 12:00:00 AM,Ranger Station Cottage Open,Ranger Station in Zilker Park,1:00pm - 5:00pm,Ranger Station Cottage Open,,Ranger Station Cottage Open,
